publishedsince_days,brand,model,Price,year,KMs,Engine,Gear,Color,warranty_months,type of ad,rechargeable,battery_capacity_km,engine_power_kW,battery_volts_V,battery_intensity_A
40,AUDI,     RS4 (5E GENERATION) AVANT,99930,2020,51751,Petrol,automatic,noir,24,Professional,,,,,
30,ASTON MARTIN,     V8 VANTAGE,99430,2016,58494,Petrol,automatic,noirmetal,3,Professional,,,,,
58,VOLKSWAGEN,     TOUAREG 3,99210,2021,11681,Petrol-electric hybrid,automatic,gris,1,Professional,yes,,,,
60,AUDI,     RS4 (5E GENERATION) AVANT,99080,2019,67276,Petrol,automatic,noir,12,Professional,,,,,
10,MASERATI,     QUATTROPORTE 6,98380,2018,17611,Petrol,automatic,grismetal,12,Professional,,,316.0,,
47,MERCEDES,     GLC COUPE AMG,97810,2019,54720,Petrol,automatic,bleucavansite,12,Professional,,,,,
60,ASTON MARTIN,     V8 VANTAGE,96780,2015,39050,Petrol,automatic,grisfoncã©metal,13,Professional,,,321.0,,
26,PORSCHE,     PANAMERA 2 SPORT TURISMO,95880,2019,139800,Petrol-electric hybrid,automatic,grismetal,6,Professional,yes,51.0,340.0,,
20,PORSCHE,     MACAN,95430,2018,32257,Petrol,automatic,rougefoncã©metal,6,Professional,,,324.0,,
13,PORSCHE,     PANAMERA 2,95170,2019,62015,Petrol,automatic,noir,6,Professional,,,,,
58,VOLKSWAGEN,     TOUAREG 3,94690,2021,16328,Petrol-electric hybrid,automatic,blanc,3,Professional,yes,,,,
60,JEEP,     GLADIATOR,94250,2022,24,Petrol,automatic,blancverni,12,Professional,,,,,
28,PORSCHE,     MACAN,94230,2020,18974,Petrol,automatic,peinturevertmambamã©tallisã©,6,Professional,,,260.0,,
5,JAGUAR,     F-PACE,92290,2020,52395,Petrol,automatic,santoriniblack,24,Professional,,,,,
33,PORSCHE,     911 TYPE 997,91590,2009,53021,Petrol,automatic,gris,6,Professional,,,,,
10,PORSCHE,     MACAN,91290,2020,18964,Petrol,automatic,noir,6,Professional,,,,,
12,LOTUS,     EVORA,91280,2017,34416,Petrol,mechanic,grisfoncã©metal,6,Professional,,,294.0,,
